,Pair,Separation_Factor,SMILES,Current_REE_D,Next_REE_D,Solvent,Acid Conc (M),Acid Type,Temperature (C),Ligand Conc (M)
976,Ce/Eu,700.0,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,1120.0,1.6,DCE,0.9,HNO3,25.0,0.007
775,La/Lu,700.0,O=C1N(CCCCCC)[C@@H]2[C@@H]([C@H]3CC[C@@H]2C3)C4=CC5=C(C(N=C(C(N(CCCCCC)[C@H]6[C@@H]7[C@@H]8CC[C@H]6C8)=O)C7=C9)=C9C=C5)N=C41,14.0,0.02,DCE,0.9,HCl,25.0,0.007
780,La/Lu,682.6434782608696,CCC1=CC=C(C=C1)N(CC)C(=O)C2=NC3=C(C=CC4=C3N=C(C=C4)C(=O)N(CC)C5=CC=C(C=C5)CC)C=C2,392.52,0.575,F-3,3.0,HNO3,20.0,0.05
726,La/Yb,636.3636363636364,O=C1N(CCCCCC)[C@@H]2[C@@H]([C@H]3CC[C@@H]2C3)C4=CC5=C(C(N=C(C(N(CCCCCC)[C@H]6[C@@H]7[C@@H]8CC[C@H]6C8)=O)C7=C9)=C9C=C5)N=C41,14.0,0.022,DCE,0.9,HCl,25.0,0.007
2292,Nd/Lu,625.0,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,25.0,0.04,DCE,0.9,HNO3,25.0,0.007
2250,Nd/Yb,568.1818181818182,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,25.0,0.044,DCE,0.9,HNO3,25.0,0.007
731,La/Yb,511.09374999999994,CCC1=CC=C(C=C1)N(CC)C(=O)C2=NC3=C(C=CC4=C3N=C(C=C4)C(=O)N(CC)C5=CC=C(C=C5)CC)C=C2,392.52,0.768,F-3,3.0,HNO3,20.0,0.05
778,La/Lu,500.0,O=C1N(CCCCCC)[C@@H]2[C@@H]([C@H]3CC[C@@H]2C3)C4=CC5=C(C(N=C(C(N(CCCCCC)[C@H]6[C@@H]7[C@@H]8CC[C@H]6C8)=O)C7=C9)=C9C=C5)N=C41,16.0,0.032,DCE,0.9,HNO3,25.0,0.007
293,La/Eu,493.75,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,790.0,1.6,DCE,0.9,HNO3,25.0,0.007
729,La/Yb,421.0526315789474,O=C1N(CCCCCC)[C@@H]2[C@@H]([C@H]3CC[C@@H]2C3)C4=CC5=C(C(N=C(C(N(CCCCCC)[C@H]6[C@@H]7[C@@H]8CC[C@H]6C8)=O)C7=C9)=C9C=C5)N=C41,16.0,0.038,DCE,0.9,HNO3,25.0,0.007
1346,Ce/Lu,406.25,O=C1N(CCCCCC)[C@@H]2[C@@H]([C@H]3CC[C@@H]2C3)C4=CC5=C(C(N=C(C(N(CCCCCC)[C@H]6[C@@H]7[C@@H]8CC[C@H]6C8)=O)C7=C9)=C9C=C5)N=C41,13.0,0.032,DCE,0.9,HNO3,25.0,0.007
935,Ce/Sm,400.0,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,1120.0,2.8,DCE,0.9,HNO3,25.0,0.007
687,La/Tm,399.99999999999994,O=C1N(CCCCCC)[C@@H]2[C@@H]([C@H]3CC[C@@H]2C3)C4=CC5=C(C(N=C(C(N(CCCCCC)[C@H]6[C@@H]7[C@@H]8CC[C@H]6C8)=O)C7=C9)=C9C=C5)N=C41,14.0,0.035,DCE,0.9,HCl,25.0,0.007
2211,Nd/Tm,396.8253968253968,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,25.0,0.063,DCE,0.9,HNO3,25.0,0.007
1576,Pr/Tb,395.0,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,158.0,0.4,DCE,0.9,HNO3,25.0,0.007
691,La/Tm,363.4444444444444,CCC1=CC=C(C=C1)N(CC)C(=O)C2=NC3=C(C=CC4=C3N=C(C=C4)C(=O)N(CC)C5=CC=C(C=C5)CC)C=C2,392.52,1.08,F-3,3.0,HNO3,20.0,0.05
1343,Ce/Lu,355.0,O=C1N(CCCCCC)[C@@H]2[C@@H]([C@H]3CC[C@@H]2C3)C4=CC5=C(C(N=C(C(N(CCCCCC)[C@H]6[C@@H]7[C@@H]8CC[C@H]6C8)=O)C7=C9)=C9C=C5)N=C41,7.1,0.02,DCE,0.9,HCl,25.0,0.007
1348,Ce/Lu,344.1565217391304,CCC1=CC=C(C=C1)N(CC)C(=O)C2=NC3=C(C=CC4=C3N=C(C=C4)C(=O)N(CC)C5=CC=C(C=C5)CC)C=C2,197.89,0.575,F-3,3.0,HNO3,20.0,0.05
1304,Ce/Yb,342.10526315789474,O=C1N(CCCCCC)[C@@H]2[C@@H]([C@H]3CC[C@@H]2C3)C4=CC5=C(C(N=C(C(N(CCCCCC)[C@H]6[C@@H]7[C@@H]8CC[C@H]6C8)=O)C7=C9)=C9C=C5)N=C41,13.0,0.038,DCE,0.9,HNO3,25.0,0.007
1301,Ce/Yb,322.72727272727275,O=C1N(CCCCCC)[C@@H]2[C@@H]([C@H]3CC[C@@H]2C3)C4=CC5=C(C(N=C(C(N(CCCCCC)[C@H]6[C@@H]7[C@@H]8CC[C@H]6C8)=O)C7=C9)=C9C=C5)N=C41,7.1,0.022,DCE,0.9,HCl,25.0,0.007
1785,Pr/Lu,312.5,O=C1N(CCCCCC)[C@@H]2[C@@H]([C@H]3CC[C@@H]2C3)C4=CC5=C(C(N=C(C(N(CCCCCC)[C@H]6[C@@H]7[C@@H]8CC[C@H]6C8)=O)C7=C9)=C9C=C5)N=C41,10.0,0.032,DCE,0.9,HNO3,25.0,0.007
2293,Nd/Lu,293.75,O=C1N(CCCCCC)[C@@H]2[C@@H]([C@H]3CC[C@@H]2C3)C4=CC5=C(C(N=C(C(N(CCCCCC)[C@H]6[C@@H]7[C@@H]8CC[C@H]6C8)=O)C7=C9)=C9C=C5)N=C41,9.4,0.032,DCE,0.9,HNO3,25.0,0.007
219,La/Sm,282.14285714285717,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,790.0,2.8,DCE,0.9,HNO3,25.0,0.007
2154,Nd/Er,280.8988764044944,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,25.0,0.089,DCE,0.9,HNO3,25.0,0.007
1541,Pr/Gd,263.33333333333337,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,158.0,0.6,DCE,0.9,HNO3,25.0,0.007
1758,Pr/Yb,263.15789473684214,O=C1N(CCCCCC)[C@@H]2[C@@H]([C@H]3CC[C@@H]2C3)C4=CC5=C(C(N=C(C(N(CCCCCC)[C@H]6[C@@H]7[C@@H]8CC[C@H]6C8)=O)C7=C9)=C9C=C5)N=C41,10.0,0.038,DCE,0.9,HNO3,25.0,0.007
1306,Ce/Yb,257.6692708333333,CCC1=CC=C(C=C1)N(CC)C(=O)C2=NC3=C(C=CC4=C3N=C(C=C4)C(=O)N(CC)C5=CC=C(C=C5)CC)C=C2,197.89,0.768,F-3,3.0,HNO3,20.0,0.05
689,La/Tm,253.96825396825398,O=C1N(CCCCCC)[C@@H]2[C@@H]([C@H]3CC[C@@H]2C3)C4=CC5=C(C(N=C(C(N(CCCCCC)[C@H]6[C@@H]7[C@@H]8CC[C@H]6C8)=O)C7=C9)=C9C=C5)N=C41,16.0,0.063,DCE,0.9,HNO3,25.0,0.007
604,La/Er,250.0,O=C1N(CCCCCC)[C@@H]2[C@@H]([C@H]3CC[C@@H]2C3)C4=CC5=C(C(N=C(C(N(CCCCCC)[C@H]6[C@@H]7[C@@H]8CC[C@H]6C8)=O)C7=C9)=C9C=C5)N=C41,14.0,0.056,DCE,0.9,HCl,25.0,0.007
1782,Pr/Lu,250.0,O=C1N(CCCCCC)[C@@H]2[C@@H]([C@H]3CC[C@@H]2C3)C4=CC5=C(C(N=C(C(N(CCCCCC)[C@H]6[C@@H]7[C@@H]8CC[C@H]6C8)=O)C7=C9)=C9C=C5)N=C41,5.0,0.02,DCE,0.9,HCl,25.0,0.007
2251,Nd/Yb,247.3684210526316,O=C1N(CCCCCC)[C@@H]2[C@@H]([C@H]3CC[C@@H]2C3)C4=CC5=C(C(N=C(C(N(CCCCCC)[C@H]6[C@@H]7[C@@H]8CC[C@H]6C8)=O)C7=C9)=C9C=C5)N=C41,9.4,0.038,DCE,0.9,HNO3,25.0,0.007
1755,Pr/Yb,227.27272727272728,O=C1N(CCCCCC)[C@@H]2[C@@H]([C@H]3CC[C@@H]2C3)C4=CC5=C(C(N=C(C(N(CCCCCC)[C@H]6[C@@H]7[C@@H]8CC[C@H]6C8)=O)C7=C9)=C9C=C5)N=C41,5.0,0.022,DCE,0.9,HCl,25.0,0.007
633,La/Er,218.06666666666666,CCC1=CC=C(C=C1)N(CC)C(=O)C2=NC3=C(C=CC4=C3N=C(C=C4)C(=O)N(CC)C5=CC=C(C=C5)CC)C=C2,392.52,1.8,F-3,3.0,HNO3,20.0,0.05
1264,Ce/Tm,206.34920634920636,O=C1N(CCCCCC)[C@@H]2[C@@H]([C@H]3CC[C@@H]2C3)C4=CC5=C(C(N=C(C(N(CCCCCC)[C@H]6[C@@H]7[C@@H]8CC[C@H]6C8)=O)C7=C9)=C9C=C5)N=C41,13.0,0.063,DCE,0.9,HNO3,25.0,0.007
1262,Ce/Tm,202.85714285714283,O=C1N(CCCCCC)[C@@H]2[C@@H]([C@H]3CC[C@@H]2C3)C4=CC5=C(C(N=C(C(N(CCCCCC)[C@H]6[C@@H]7[C@@H]8CC[C@H]6C8)=O)C7=C9)=C9C=C5)N=C41,7.1,0.035,DCE,0.9,HCl,25.0,0.007
2291,Nd/Lu,200.0,O=C1N(CCCCCC)[C@@H]2[C@@H]([C@H]3CC[C@@H]2C3)C4=CC5=C(C(N=C(C(N(CCCCCC)[C@H]6[C@@H]7[C@@H]8CC[C@H]6C8)=O)C7=C9)=C9C=C5)N=C41,4.0,0.02,DCE,0.9,HCl,25.0,0.007
1266,Ce/Tm,183.23148148148147,CCC1=CC=C(C=C1)N(CC)C(=O)C2=NC3=C(C=CC4=C3N=C(C=C4)C(=O)N(CC)C5=CC=C(C=C5)CC)C=C2,197.89,1.08,F-3,3.0,HNO3,20.0,0.05
2249,Nd/Yb,181.81818181818184,O=C1N(CCCCCC)[C@@H]2[C@@H]([C@H]3CC[C@@H]2C3)C4=CC5=C(C(N=C(C(N(CCCCCC)[C@H]6[C@@H]7[C@@H]8CC[C@H]6C8)=O)C7=C9)=C9C=C5)N=C41,4.0,0.022,DCE,0.9,HCl,25.0,0.007
569,La/Ho,180.8847926267281,CCC1=CC=C(C=C1)N(CC)C(=O)C2=NC3=C(C=CC4=C3N=C(C=C4)C(=O)N(CC)C5=CC=C(C=C5)CC)C=C2,392.52,2.17,F-3,3.0,HNO3,20.0,0.05
725,La/Yb,179.77528089887642,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,1.6,0.0089,DCE,0.9,HCl,25.0,0.007
2115,Nd/Ho,178.57142857142856,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,25.0,0.14,DCE,0.9,HNO3,25.0,0.007
816,La/Lu,165.7593028180153,N(CC(=O)N(CCCCCCCC)CCCCCCCC)(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCCC,3.2487,0.0195989,n-dodecane,1.0,HNO3,25.0,0.1
774,La/Lu,160.0,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,1.6,0.01,DCE,0.9,HCl,25.0,0.007
1731,Pr/Tm,158.73015873015873,O=C1N(CCCCCC)[C@@H]2[C@@H]([C@H]3CC[C@@H]2C3)C4=CC5=C(C(N=C(C(N(CCCCCC)[C@H]6[C@@H]7[C@@H]8CC[C@H]6C8)=O)C7=C9)=C9C=C5)N=C41,10.0,0.063,DCE,0.9,HNO3,25.0,0.007
764,La/Yb,158.4036276756546,N(CC(=O)N(CCCCCCCC)CCCCCCCC)(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCCC,3.2487,0.020509,n-dodecane,1.0,HNO3,25.0,0.1
2212,Nd/Tm,149.20634920634922,O=C1N(CCCCCC)[C@@H]2[C@@H]([C@H]3CC[C@@H]2C3)C4=CC5=C(C(N=C(C(N(CCCCCC)[C@H]6[C@@H]7[C@@H]8CC[C@H]6C8)=O)C7=C9)=C9C=C5)N=C41,9.4,0.063,DCE,0.9,HNO3,25.0,0.007
291,La/Eu,145.45454545454547,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,1.6,0.011,DCE,0.9,HCl,25.0,0.007
607,La/Er,145.45454545454547,O=C1N(CCCCCC)[C@@H]2[C@@H]([C@H]3CC[C@@H]2C3)C4=CC5=C(C(N=C(C(N(CCCCCC)[C@H]6[C@@H]7[C@@H]8CC[C@H]6C8)=O)C7=C9)=C9C=C5)N=C41,16.0,0.11,DCE,0.9,HNO3,25.0,0.007
1729,Pr/Tm,142.85714285714283,O=C1N(CCCCCC)[C@@H]2[C@@H]([C@H]3CC[C@@H]2C3)C4=CC5=C(C(N=C(C(N(CCCCCC)[C@H]6[C@@H]7[C@@H]8CC[C@H]6C8)=O)C7=C9)=C9C=C5)N=C41,5.0,0.035,DCE,0.9,HCl,25.0,0.007
564,La/Ho,140.0,O=C1N(CCCCCC)[C@@H]2[C@@H]([C@H]3CC[C@@H]2C3)C4=CC5=C(C(N=C(C(N(CCCCCC)[C@H]6[C@@H]7[C@@H]8CC[C@H]6C8)=O)C7=C9)=C9C=C5)N=C41,14.0,0.1,DCE,0.9,HCl,25.0,0.007
1787,Pr/Lu,133.23478260869567,CCC1=CC=C(C=C1)N(CC)C(=O)C2=NC3=C(C=CC4=C3N=C(C=C4)C(=O)N(CC)C5=CC=C(C=C5)CC)C=C2,76.61,0.575,F-3,3.0,HNO3,20.0,0.05
1198,Ce/Er,126.78571428571428,O=C1N(CCCCCC)[C@@H]2[C@@H]([C@H]3CC[C@@H]2C3)C4=CC5=C(C(N=C(C(N(CCCCCC)[C@H]6[C@@H]7[C@@H]8CC[C@H]6C8)=O)C7=C9)=C9C=C5)N=C41,7.1,0.056,DCE,0.9,HCl,25.0,0.007
2753,Sm/Lu,125.0,O=C1N(CCCCCC)[C@@H]2[C@@H]([C@H]3CC[C@@H]2C3)C4=CC5=C(C(N=C(C(N(CCCCCC)[C@H]6[C@@H]7[C@@H]8CC[C@H]6C8)=O)C7=C9)=C9C=C5)N=C41,4.0,0.032,DCE,0.9,HNO3,25.0,0.007
2059,Nd/Dy,125.0,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,25.0,0.2,DCE,0.9,HNO3,25.0,0.007
1201,Ce/Er,118.18181818181819,O=C1N(CCCCCC)[C@@H]2[C@@H]([C@H]3CC[C@@H]2C3)C4=CC5=C(C(N=C(C(N(CCCCCC)[C@H]6[C@@H]7[C@@H]8CC[C@H]6C8)=O)C7=C9)=C9C=C5)N=C41,13.0,0.11,DCE,0.9,HNO3,25.0,0.007
563,La/Ho,114.28571428571429,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,1.6,0.014,DCE,0.9,HCl,25.0,0.007
2210,Nd/Tm,114.28571428571428,O=C1N(CCCCCC)[C@@H]2[C@@H]([C@H]3CC[C@@H]2C3)C4=CC5=C(C(N=C(C(N(CCCCCC)[C@H]6[C@@H]7[C@@H]8CC[C@H]6C8)=O)C7=C9)=C9C=C5)N=C41,4.0,0.035,DCE,0.9,HCl,25.0,0.007
1374,Ce/Lu,111.23073233701894,N(CC(=O)N(CCCCCCCC)CCCCCCCC)(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCCC,2.18,0.0195989,n-dodecane,1.0,HNO3,25.0,0.1
1227,Ce/Er,109.93888888888888,CCC1=CC=C(C=C1)N(CC)C(=O)C2=NC3=C(C=CC4=C3N=C(C=C4)C(=O)N(CC)C5=CC=C(C=C5)CC)C=C2,197.89,1.8,F-3,3.0,HNO3,20.0,0.05
603,La/Er,106.66666666666667,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,1.6,0.015,DCE,0.9,HCl,25.0,0.007
1332,Ce/Yb,106.29479740601688,N(CC(=O)N(CCCCCCCC)CCCCCCCC)(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCCC,2.18,0.020509,n-dodecane,1.0,HNO3,25.0,0.1
2711,Sm/Yb,105.26315789473685,O=C1N(CCCCCC)[C@@H]2[C@@H]([C@H]3CC[C@@H]2C3)C4=CC5=C(C(N=C(C(N(CCCCCC)[C@H]6[C@@H]7[C@@H]8CC[C@H]6C8)=O)C7=C9)=C9C=C5)N=C41,4.0,0.038,DCE,0.9,HNO3,25.0,0.007
610,La/Er,105.0,C1OCCOc2ccccc2OCCOCCOc2ccccc2OC1,0.105,0.001,DMSO,0.5,TCA,25.0,0.05
217,La/Sm,100.0,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,1.6,0.016,DCE,0.9,HCl,25.0,0.007
455,La/Tb,100.0,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,1.6,0.016,DCE,0.9,HCl,25.0,0.007
