,SMILES,REE,Meas. Type,Meas. Amount,Solvent,Acid Conc (M),Acid Type,Temperature (C),Ligand Conc (M)
20,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Sm,Aq/Org Distribution,0.0037,CHCl3,2,HNO3,25,0.5
21,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Eu,Aq/Org Distribution,0.0029,CHCl3,2,HNO3,25,0.5
22,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Gd,Aq/Org Distribution,0.0018,CHCl3,2,HNO3,25,0.5
23,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Tb,Aq/Org Distribution,0.0019,CHCl3,2,HNO3,25,0.5
24,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Dy,Aq/Org Distribution,0.002,CHCl3,2,HNO3,25,0.5
25,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Ho,Aq/Org Distribution,0.0021,CHCl3,2,HNO3,25,0.5
26,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Er,Aq/Org Distribution,0.0023,CHCl3,2,HNO3,25,0.5
27,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Tm,Aq/Org Distribution,0.0021,CHCl3,2,HNO3,25,0.5
28,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Yb,Aq/Org Distribution,0.002,CHCl3,2,HNO3,25,0.5
29,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Lu,Aq/Org Distribution,0.0022,CHCl3,2,HNO3,25,0.5
30,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,La,Aq/Org Distribution,0.02,CHCl3,3,HNO3,25,0.5
31,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Ce,Aq/Org Distribution,0.024,CHCl3,3,HNO3,25,0.5
32,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Pr,Aq/Org Distribution,0.031,CHCl3,3,HNO3,25,0.5
33,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Nd,Aq/Org Distribution,0.034,CHCl3,3,HNO3,25,0.5
34,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Sm,Aq/Org Distribution,0.032,CHCl3,3,HNO3,25,0.5
35,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Eu,Aq/Org Distribution,0.026,CHCl3,3,HNO3,25,0.5
36,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Gd,Aq/Org Distribution,0.017,CHCl3,3,HNO3,25,0.5
37,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Tb,Aq/Org Distribution,0.02,CHCl3,3,HNO3,25,0.5
38,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Dy,Aq/Org Distribution,0.024,CHCl3,3,HNO3,25,0.5
39,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Ho,Aq/Org Distribution,0.028,CHCl3,3,HNO3,25,0.5
40,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Er,Aq/Org Distribution,0.036,CHCl3,3,HNO3,25,0.5
41,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Tm,Aq/Org Distribution,0.038,CHCl3,3,HNO3,25,0.5
42,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Yb,Aq/Org Distribution,0.04,CHCl3,3,HNO3,25,0.5
43,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Lu,Aq/Org Distribution,0.044,CHCl3,3,HNO3,25,0.5
44,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,La,Aq/Org Distribution,0.1,CHCl3,4,HNO3,25,0.5
45,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Ce,Aq/Org Distribution,0.16,CHCl3,4,HNO3,25,0.5
46,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Pr,Aq/Org Distribution,0.23,CHCl3,4,HNO3,25,0.5
47,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Nd,Aq/Org Distribution,0.24,CHCl3,4,HNO3,25,0.5
48,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Sm,Aq/Org Distribution,0.28,CHCl3,4,HNO3,25,0.5
49,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Eu,Aq/Org Distribution,0.25,CHCl3,4,HNO3,25,0.5
50,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Gd,Aq/Org Distribution,0.19,CHCl3,4,HNO3,25,0.5
51,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Tb,Aq/Org Distribution,0.31,CHCl3,4,HNO3,25,0.5
52,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Dy,Aq/Org Distribution,0.52,CHCl3,4,HNO3,25,0.5
53,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Ho,Aq/Org Distribution,0.78,CHCl3,4,HNO3,25,0.5
54,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Er,Aq/Org Distribution,1.2,CHCl3,4,HNO3,25,0.5
55,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Tm,Aq/Org Distribution,1.5,CHCl3,4,HNO3,25,0.5
56,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Yb,Aq/Org Distribution,1.7,CHCl3,4,HNO3,25,0.5
57,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Lu,Aq/Org Distribution,2,CHCl3,4,HNO3,25,0.5
58,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,La,Aq/Org Distribution,3.6,CHCl3,5,HNO3,25,0.5
59,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Ce,Aq/Org Distribution,6.3,CHCl3,5,HNO3,25,0.5
60,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Pr,Aq/Org Distribution,9.7,CHCl3,5,HNO3,25,0.5
61,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Nd,Aq/Org Distribution,1.1,CHCl3,5,HNO3,25,0.5
62,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Sm,Aq/Org Distribution,1.5,CHCl3,5,HNO3,25,0.5
63,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Eu,Aq/Org Distribution,1.6,CHCl3,5,HNO3,25,0.5
64,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Gd,Aq/Org Distribution,1.6,CHCl3,5,HNO3,25,0.5
65,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Tb,Aq/Org Distribution,3.7,CHCl3,5,HNO3,25,0.5
66,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Dy,Aq/Org Distribution,7.4,CHCl3,5,HNO3,25,0.5
67,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Ho,Aq/Org Distribution,13,CHCl3,5,HNO3,25,0.5
68,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Er,Aq/Org Distribution,21,CHCl3,5,HNO3,25,0.5
69,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Tm,Aq/Org Distribution,27,CHCl3,5,HNO3,25,0.5
70,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Yb,Aq/Org Distribution,31,CHCl3,5,HNO3,25,0.5
71,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Lu,Aq/Org Distribution,36,CHCl3,5,HNO3,25,0.5
72,"M. R. Healy, A. S. Ivanov, Y. Karslyan, V. S. Bryantsev, B. A. Moyer, S. Jansone‐Popova, Chem. Eur. J. 2019, 25, 6326-6331.",,,,,,,,
73,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,La,Aq/Org Distribution,790,DCE,0.9,HNO3,25,0.007
74,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,Ce,Aq/Org Distribution,1120,DCE,0.9,HNO3,25,0.007
75,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,Pr,Aq/Org Distribution,158,DCE,0.9,HNO3,25,0.007
76,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,Nd,Aq/Org Distribution,25,DCE,0.9,HNO3,25,0.007
77,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,Sm,Aq/Org Distribution,2.8,DCE,0.9,HNO3,25,0.007
78,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,Eu,Aq/Org Distribution,1.6,DCE,0.9,HNO3,25,0.007
79,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,Gd,Aq/Org Distribution,0.6,DCE,0.9,HNO3,25,0.007
80,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,Tb,Aq/Org Distribution,0.4,DCE,0.9,HNO3,25,0.007
81,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,Dy,Aq/Org Distribution,0.2,DCE,0.9,HNO3,25,0.007
82,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,Ho,Aq/Org Distribution,0.14,DCE,0.9,HNO3,25,0.007
83,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,Er,Aq/Org Distribution,0.089,DCE,0.9,HNO3,25,0.007
84,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,Tm,Aq/Org Distribution,0.063,DCE,0.9,HNO3,25,0.007
85,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,Yb,Aq/Org Distribution,0.044,DCE,0.9,HNO3,25,0.007
86,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,Lu,Aq/Org Distribution,0.04,DCE,0.9,HNO3,25,0.007
87,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,La,Aq/Org Distribution,1.6,DCE,0.9,HCl,25,0.007
88,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,Ce,Aq/Org Distribution,0.7,DCE,0.9,HCl,25,0.007
89,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,Pr,Aq/Org Distribution,0.25,DCE,0.9,HCl,25,0.007
90,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,Nd,Aq/Org Distribution,0.071,DCE,0.9,HCl,25,0.007
91,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,Sm,Aq/Org Distribution,0.016,DCE,0.9,HCl,25,0.007
92,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,Eu,Aq/Org Distribution,0.011,DCE,0.9,HCl,25,0.007
93,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,Gd,Aq/Org Distribution,0.018,DCE,0.9,HCl,25,0.007
94,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,Tb,Aq/Org Distribution,0.016,DCE,0.9,HCl,25,0.007
95,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,Dy,Aq/Org Distribution,0.056,DCE,0.9,HCl,25,0.007
96,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,Ho,Aq/Org Distribution,0.014,DCE,0.9,HCl,25,0.007
97,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,Er,Aq/Org Distribution,0.015,DCE,0.9,HCl,25,0.007
98,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,Tm,Aq/Org Distribution,0.016,DCE,0.9,HCl,25,0.007
99,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,Yb,Aq/Org Distribution,0.0089,DCE,0.9,HCl,25,0.007
100,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,Lu,Aq/Org Distribution,0.01,DCE,0.9,HCl,25,0.007
101,O=C1N(CCCCCC)[C@@H]2[C@@H]([C@H]3CC[C@@H]2C3)C4=CC5=C(C(N=C(C(N(CCCCCC)[C@H]6[C@@H]7[C@@H]8CC[C@H]6C8)=O)C7=C9)=C9C=C5)N=C41,La,Aq/Org Distribution,16,DCE,0.9,HNO3,25,0.007
102,O=C1N(CCCCCC)[C@@H]2[C@@H]([C@H]3CC[C@@H]2C3)C4=CC5=C(C(N=C(C(N(CCCCCC)[C@H]6[C@@H]7[C@@H]8CC[C@H]6C8)=O)C7=C9)=C9C=C5)N=C41,Ce,Aq/Org Distribution,13,DCE,0.9,HNO3,25,0.007
103,O=C1N(CCCCCC)[C@@H]2[C@@H]([C@H]3CC[C@@H]2C3)C4=CC5=C(C(N=C(C(N(CCCCCC)[C@H]6[C@@H]7[C@@H]8CC[C@H]6C8)=O)C7=C9)=C9C=C5)N=C41,Pr,Aq/Org Distribution,10,DCE,0.9,HNO3,25,0.007
104,O=C1N(CCCCCC)[C@@H]2[C@@H]([C@H]3CC[C@@H]2C3)C4=CC5=C(C(N=C(C(N(CCCCCC)[C@H]6[C@@H]7[C@@H]8CC[C@H]6C8)=O)C7=C9)=C9C=C5)N=C41,Nd,Aq/Org Distribution,9.4,DCE,0.9,HNO3,25,0.007
105,O=C1N(CCCCCC)[C@@H]2[C@@H]([C@H]3CC[C@@H]2C3)C4=CC5=C(C(N=C(C(N(CCCCCC)[C@H]6[C@@H]7[C@@H]8CC[C@H]6C8)=O)C7=C9)=C9C=C5)N=C41,Sm,Aq/Org Distribution,4,DCE,0.9,HNO3,25,0.007
106,O=C1N(CCCCCC)[C@@H]2[C@@H]([C@H]3CC[C@@H]2C3)C4=CC5=C(C(N=C(C(N(CCCCCC)[C@H]6[C@@H]7[C@@H]8CC[C@H]6C8)=O)C7=C9)=C9C=C5)N=C41,Eu,Aq/Org Distribution,2.5,DCE,0.9,HNO3,25,0.007
107,O=C1N(CCCCCC)[C@@H]2[C@@H]([C@H]3CC[C@@H]2C3)C4=CC5=C(C(N=C(C(N(CCCCCC)[C@H]6[C@@H]7[C@@H]8CC[C@H]6C8)=O)C7=C9)=C9C=C5)N=C41,Gd,Aq/Org Distribution,1.1,DCE,0.9,HNO3,25,0.007
108,O=C1N(CCCCCC)[C@@H]2[C@@H]([C@H]3CC[C@@H]2C3)C4=CC5=C(C(N=C(C(N(CCCCCC)[C@H]6[C@@H]7[C@@H]8CC[C@H]6C8)=O)C7=C9)=C9C=C5)N=C41,Tb,Aq/Org Distribution,0.71,DCE,0.9,HNO3,25,0.007
109,O=C1N(CCCCCC)[C@@H]2[C@@H]([C@H]3CC[C@@H]2C3)C4=CC5=C(C(N=C(C(N(CCCCCC)[C@H]6[C@@H]7[C@@H]8CC[C@H]6C8)=O)C7=C9)=C9C=C5)N=C41,Dy,Aq/Org Distribution,0.4,DCE,0.9,HNO3,25,0.007
110,O=C1N(CCCCCC)[C@@H]2[C@@H]([C@H]3CC[C@@H]2C3)C4=CC5=C(C(N=C(C(N(CCCCCC)[C@H]6[C@@H]7[C@@H]8CC[C@H]6C8)=O)C7=C9)=C9C=C5)N=C41,Ho,Aq/Org Distribution,0.22,DCE,0.9,HNO3,25,0.007
111,O=C1N(CCCCCC)[C@@H]2[C@@H]([C@H]3CC[C@@H]2C3)C4=CC5=C(C(N=C(C(N(CCCCCC)[C@H]6[C@@H]7[C@@H]8CC[C@H]6C8)=O)C7=C9)=C9C=C5)N=C41,Er,Aq/Org Distribution,0.11,DCE,0.9,HNO3,25,0.007
112,O=C1N(CCCCCC)[C@@H]2[C@@H]([C@H]3CC[C@@H]2C3)C4=CC5=C(C(N=C(C(N(CCCCCC)[C@H]6[C@@H]7[C@@H]8CC[C@H]6C8)=O)C7=C9)=C9C=C5)N=C41,Tm,Aq/Org Distribution,0.063,DCE,0.9,HNO3,25,0.007
113,O=C1N(CCCCCC)[C@@H]2[C@@H]([C@H]3CC[C@@H]2C3)C4=CC5=C(C(N=C(C(N(CCCCCC)[C@H]6[C@@H]7[C@@H]8CC[C@H]6C8)=O)C7=C9)=C9C=C5)N=C41,Yb,Aq/Org Distribution,0.038,DCE,0.9,HNO3,25,0.007
114,O=C1N(CCCCCC)[C@@H]2[C@@H]([C@H]3CC[C@@H]2C3)C4=CC5=C(C(N=C(C(N(CCCCCC)[C@H]6[C@@H]7[C@@H]8CC[C@H]6C8)=O)C7=C9)=C9C=C5)N=C41,Lu,Aq/Org Distribution,0.032,DCE,0.9,HNO3,25,0.007
115,O=C1N(CCCCCC)[C@@H]2[C@@H]([C@H]3CC[C@@H]2C3)C4=CC5=C(C(N=C(C(N(CCCCCC)[C@H]6[C@@H]7[C@@H]8CC[C@H]6C8)=O)C7=C9)=C9C=C5)N=C41,La,Aq/Org Distribution,14,DCE,0.9,HCl,25,0.007
116,O=C1N(CCCCCC)[C@@H]2[C@@H]([C@H]3CC[C@@H]2C3)C4=CC5=C(C(N=C(C(N(CCCCCC)[C@H]6[C@@H]7[C@@H]8CC[C@H]6C8)=O)C7=C9)=C9C=C5)N=C41,Ce,Aq/Org Distribution,7.1,DCE,0.9,HCl,25,0.007
